Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
"Junior Research Scientist, Research Assistant","New York University, Effective Altruism Psychology Lab",https://docs.google.com/document/d/1A2andGe_s8Rp2Rqa4KGbrxU9VY9FBYD33qhti-39xXY/edit#heading=h.xyegizuhs2wp,"Remote.Global,""New York, NY.USA""",2024-02-23,1/1/2050,5. Building effective altruism,"""The Junior Research Scientist will work primarily with Prof Joshua Lewis (NYU), Dr Lucius Caviola (University of Oxford), researchers at Polaris Ventures, and the Effective Altruism Psychology Research Group. At least 90% of time will be spent on research, with the remaining time spent on other assigned responsibilities. The topics include: Judgments and decisions about global catastrophic risk from artificial intelligence, pandemics, etc.; The psychology of dangerous actors that could cause large-scale harm, such as malevolent individuals [...]""",Undergraduate degree or less,Junior (1-4 years experience),Research,https://www.eapsychology.org/,https://www.eapsychology.org/jobs,https://80000hours.org/wp-content/uploads/2019/11/new-york-university.jpg,Not Found
Research Fellow ,"New York University, Effective Altruism Psychology Lab",https://docs.google.com/document/d/1MxstnDS41RwRRbzzvU0Dv-4h0qfu20wuOaly059JgCM/edit#heading=h.h2r93sk3c6oq,"Remote.Global,""New York, NY.USA""",2024-02-23,1/1/2050,5. Building effective altruism,"""The Research Fellow will work primarily with Dr Lucius Caviola (University of Oxford), Prof Joshua Lewis (NYU), and researchers at Polaris Ventures and the Effective Altruism Psychology Research Group. This position is primarily focused on studying societal risks from malevolent actors in positions of power and extremist ideological groups. This includes: Studying the psychology of malevolence (e.g., “dark traits”) and extremist ideological groups; Studying how such actors could cause large-scale societal harm (e.g., through malicious use [...]""",Undergraduate degree or less,Mid (5-9 years experience),Research,https://www.eapsychology.org/,https://www.eapsychology.org/jobs,https://80000hours.org/wp-content/uploads/2019/11/new-york-university.jpg,Not Found
Expression of Interest,Non-Trivial,https://www.non-trivial.org/careers,"London.UK,Remote.UK",2024-01-25,1/1/2050,5. Building effective altruism,"""Responsibilities: With a small team, you’ll be working closely with and reporting directly to the CEO, Peter McIntyre. You might do things like: Dramatically expanding the reach and impact of this selective program by overseeing marketing, outreach, and admissions; Build systems and infrastructure to scale the fellowship while maintaining quality; Provide mentorship to fellows, helping them have significantly more impact than they otherwise would; Evaluate our impact. Tracking outcomes, gathering feedback, and evaluating long-term impact; [...]""",Undergraduate degree or less,Multiple experience levels,"Operations, Research, Policy",https://www.non-trivial.org/,,https://80000hours.org/wp-content/uploads/2023/05/Non-trivial.jpeg,Not Found
Non-Trivial Fellowship,Non-Trivial,https://www.non-trivial.org/?utm_source=referral&utm_medium=email&utm_campaign=EA&utm_content=80k+Newsletter,.Global,2024-03-27,28/4/2024,"4. Global priorities research,5. Building effective altruism,1. AI safety & policy,2. Biosecurity & pandemic preparedness",,Undergraduate degree or less,Entry-level,"Research, Policy, Other",https://www.non-trivial.org/,,https://80000hours.org/wp-content/uploads/2023/05/Non-trivial.jpeg,"$500 scholarship; Grant awards: $15,000, $5,000, $1,000"
"Programme Director, Humanitarian Area",Novo Nordisk Foundation,https://apply.workable.com/novonordiskfoundation/j/B8B72824DC/,Copenhagen.Denmark,2024-04-08,16/4/2024,A. Global health & development,,Master's degree,Senior (10+ years experience),"Operations, Management",https://novonordiskfonden.dk/en,https://novonordiskfonden.dk/en/careers-and-jobs/,https://80000hours.org/wp-content/uploads/2023/08/novo_nordisk_logo.png,Not Found
Junior Hardware Test Engineer,NS Nanotech,https://www.nsnanotech.com/test-engineer,Montreal.Canada,2024-02-29,1/1/2050,2. Biosecurity & pandemic preparedness,"""We are seeking a talented and motivated Junior Hardware Test Engineer to operate test systems required for the development of NS Nanotech’s light-emitting devices and participate in the systems’ design. Responsibilities: Operate optoelectronic and opto-mechanical test systems to characterize GaN-based samples; Assist in designing, assembling, and debugging test systems; Assist in optoelectronic components selection and sourcing; Document and keep records of experiments properly; Maintain test equipment and keep calibration records of the [...]""",Undergraduate degree or less,Junior (1-4 years experience),Engineering,https://www.nsnanotech.com,https://www.nsnanotech.com/careers,https://80000hours.org/wp-content/uploads/2022/08/NS-Nanotech-Logo.png,Not Found
"Vice President, Development",Nuclear Threat Initiative,https://www.nti.org/job-listing/vice-president-development/,"""Washington, DC metro area.USA""",2024-02-19,1/1/2050,"3. Nuclear security,2. Biosecurity & pandemic preparedness","""NTI is seeking a sophisticated and seasoned Vice President of Development to lead the organization in the achievement of its fundraising goals. Reporting directly to the President, they will develop and execute NTI’s fundraising strategy focused on diversifying revenue streams. They are responsible for leading and expanding a development program that will sustainably raise $20-$25 million in revenue annually. The Vice President has the opportunity to work with the NTI team to shape the next generation of donors and supporters and take their [...]""",Undergraduate degree or less,Senior (10+ years experience),Outreach,https://www.nti.org,https://www.nti.org/about/work-with-us/,https://80000hours.org/wp-content/uploads/2018/08/Nuclear-threat-initiative-logo.jpg,Not Found
Chair of the Governing Board,Nuffield Council on Bioethics,https://www.nuffieldfoundation.org/wp-content/uploads/2024/03/NCOB-Board-Chair-Role-Description-March-2024.pdf,.UK,2024-03-21,15/4/2024,2. Biosecurity & pandemic preparedness,"""The Nuffield Council on Bioethics Governing Board Chair will be required to:
Act as an independent Chair, responsible to the funders, but also ensuring the appropriate independence of the Council in its decision making and outputs, subject to its acting within the terms of its remit. The role will include: Ensuring that the Board receives adequate information to provide effective challenge and assurance to the funders that the five-year Strategic Plan is delivered appropriately; Provide assurance that the topics selected for work within [...]""",Undergraduate degree or less,Senior (10+ years experience),"Operations, Policy",https://www.nuffieldbioethics.org/,,https://80000hours.org/wp-content/uploads/2021/04/Nuffield-Foundation.png,"£4,000 honorarium"
Governing Board Member,Nuffield Council on Bioethics,https://www.nuffieldfoundation.org/wp-content/uploads/2024/03/NCOB-Board-Member-Role-Description-March-2024.pdf,.UK,2024-03-21,15/4/2024,2. Biosecurity & pandemic preparedness,"""The role will include: Ensuring that the Board receives adequate information to provide effective challenge and assurance to the funders that the five-year Strategic Plan is delivered appropriately; Providing assurance that the topics selected for work within the Strategic Plan are within the remit of the Council; Endorsing the business plans (including budget and work plans) submitted by Council; Oversee the NCOB organisational and reputational risk management and financial operations and ensuring that good governance principles are adhered [...]""",Undergraduate degree or less,Senior (10+ years experience),"Operations, Policy",https://www.nuffieldbioethics.org/,,https://80000hours.org/wp-content/uploads/2021/04/Nuffield-Foundation.png,"£2,000 honorarium"
Chief Executive Officer,Nuffield Foundation,https://www.russellreynolds.com/en/executive-opportunities,London.UK,2024-03-08,8/4/2024,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","""As Chief Executive Officer, you will be responsible for the strategic leadership of the organisation, communicating a vision for its future, and leading the implementation of effective strategic plans and initiatives, including having overall responsibility for all Foundation employees, including those from The Ada Lovelace Institute, Family Justice Observatory and Nuffield Council on Bioethics (currently c100 staff in total) and budgets (asset base approx. £500m, annual spend approximately £ 22m). Responsibilities, including but not limited [...]""",Undergraduate degree or less,Senior (10+ years experience),"Operations, Management",https://www.nuffieldfoundation.org/,https://www.nuffieldfoundation.org/about/careers,https://80000hours.org/wp-content/uploads/2021/04/Nuffield-Foundation.png,Not Found
Public Participation and Research Practice Lead,"Nuffield Foundation, Ada Lovelace Institute",https://app.beapplied.com/apply/c3iq3o081a?utm_source=nfweb,London.UK,2024-03-27,22/4/2024,1. AI safety & policy,"""The Ada Lovelace Institute (Ada) is hiring a Public Participation & Research Practice Lead to develop, deliver and oversee the Institute’s public participation and research (PPR) projects, team and strategy, and to support robust methods and practices through all Ada’s research. This role is an excellent opportunity for a mid-career researcher with expertise in designing and managing qualitative and/or quantitative research projects at the intersection of people, society and technology. The role of Public Participation & Research Practice [...]""",Undergraduate degree or less,Multiple experience levels,"Policy, Research, Outreach",https://www.adalovelaceinstitute.org/,https://www.nuffieldfoundation.org/about/careers,https://80000hours.org/wp-content/uploads/2022/07/Ada-Lovelace-Insitute-new.jpeg,"Starting: £55,642"
